#,Category,Problem,Difficulty,LeetCode URL
1,Arrays & Hashing,Contains Duplicate,Easy,https://leetcode.com/problems/contains-duplicate/
2,Arrays & Hashing,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram/
3,Arrays & Hashing,Two Sum,Easy,https://leetcode.com/problems/two-sum/
4,Arrays & Hashing,Group Anagrams,Medium,https://leetcode.com/problems/group-anagrams/
5,Arrays & Hashing,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/
6,Arrays & Hashing,Product of Array Except Self,Medium,https://leetcode.com/problems/product-of-array-except-self/
7,Arrays & Hashing,Valid Sudoku,Medium,https://leetcode.com/problems/valid-sudoku/
8,Arrays & Hashing,Encode and Decode Strings (Premium),Medium,https://leetcode.com/problems/encode-and-decode-strings/
9,Arrays & Hashing,Longest Consecutive Sequence,Medium,https://leetcode.com/problems/longest-consecutive-sequence/
10,Two Pointers,Valid Palindrome,Easy,https://leetcode.com/problems/valid-palindrome/
11,Two Pointers,Two Sum II - Input Array Is Sorted,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
12,Two Pointers,3Sum,Medium,https://leetcode.com/problems/3sum/
13,Two Pointers,Container With Most Water,Medium,https://leetcode.com/problems/container-with-most-water/
14,Two Pointers,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water/
15,Sliding Window,Best Time to Buy and Sell Stock,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
16,Sliding Window,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
17,Sliding Window,Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
18,Sliding Window,Permutation in String,Medium,https://leetcode.com/problems/permutation-in-string/
19,Sliding Window,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/
20,Sliding Window,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/
21,Stack,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/
22,Stack,Min Stack,Medium,https://leetcode.com/problems/min-stack/
23,Stack,Evaluate Reverse Polish Notation,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/
24,Stack,Generate Parentheses,Medium,https://leetcode.com/problems/generate-parentheses/
25,Stack,Daily Temperatures,Medium,https://leetcode.com/problems/daily-temperatures/
26,Stack,Car Fleet,Medium,https://leetcode.com/problems/car-fleet/
27,Stack,Largest Rectangle in Histogram,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/
28,Binary Search,Binary Search,Easy,https://leetcode.com/problems/binary-search/
29,Binary Search,Search a 2D Matrix,Medium,https://leetcode.com/problems/search-a-2d-matrix/
30,Binary Search,Koko Eating Bananas,Medium,https://leetcode.com/problems/koko-eating-bananas/
31,Binary Search,Find Minimum in Rotated Sorted Array,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
32,Binary Search,Search in Rotated Sorted Array,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
33,Binary Search,Time Based Key-Value Store,Medium,https://leetcode.com/problems/time-based-key-value-store/
34,Binary Search,Median of Two Sorted Arrays,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/
35,Linked List,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
36,Linked List,Merge Two Sorted Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists/
37,Linked List,Reorder List,Medium,https://leetcode.com/problems/reorder-list/
38,Linked List,Remove Nth Node From End of List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
39,Linked List,Copy List with Random Pointer,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/
40,Linked List,Add Two Numbers,Medium,https://leetcode.com/problems/add-two-numbers/
41,Linked List,Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle/
42,Linked List,Find the Duplicate Number,Medium,https://leetcode.com/problems/find-the-duplicate-number/
43,Linked List,LRU Cache,Medium,https://leetcode.com/problems/lru-cache/
44,Linked List,Merge k Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
45,Linked List,Reverse Nodes in k-Group,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/
46,Trees,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree/
47,Trees,Maximum Depth of Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/
48,Trees,Diameter of Binary Tree,Easy,https://leetcode.com/problems/diameter-of-binary-tree/
49,Trees,Balanced Binary Tree,Easy,https://leetcode.com/problems/balanced-binary-tree/
50,Trees,Same Tree,Easy,https://leetcode.com/problems/same-tree/
51,Trees,Subtree of Another Tree,Easy,https://leetcode.com/problems/subtree-of-another-tree/
52,Trees,Lowest Common Ancestor of a Binary Search Tree,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
53,Trees,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
54,Trees,Binary Tree Right Side View,Medium,https://leetcode.com/problems/binary-tree-right-side-view/
55,Trees,Count Good Nodes in Binary Tree,Medium,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
56,Trees,Validate Binary Search Tree,Medium,https://leetcode.com/problems/validate-binary-search-tree/
57,Trees,Kth Smallest Element in a BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
58,Trees,Construct Binary Tree from Preorder and Inorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
59,Trees,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
60,Trees,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
61,Tries,Implement Trie (Prefix Tree),Medium,https://leetcode.com/problems/implement-trie-prefix-tree/
62,Tries,Design Add and Search Words Data Structure,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/
63,Tries,Word Search II,Hard,https://leetcode.com/problems/word-search-ii/
64,Heap / Priority Queue,Kth Largest Element in a Stream,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/
65,Heap / Priority Queue,Last Stone Weight,Easy,https://leetcode.com/problems/last-stone-weight/
66,Heap / Priority Queue,K Closest Points to Origin,Medium,https://leetcode.com/problems/k-closest-points-to-origin/
67,Heap / Priority Queue,Kth Largest Element in an Array,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/
68,Heap / Priority Queue,Task Scheduler,Medium,https://leetcode.com/problems/task-scheduler/
69,Heap / Priority Queue,Design Twitter,Medium,https://leetcode.com/problems/design-twitter/
70,Heap / Priority Queue,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream/
71,Backtracking,Subsets,Medium,https://leetcode.com/problems/subsets/
72,Backtracking,Combination Sum,Medium,https://leetcode.com/problems/combination-sum/
73,Backtracking,Permutations,Medium,https://leetcode.com/problems/permutations/
74,Backtracking,Subsets II,Medium,https://leetcode.com/problems/subsets-ii/
75,Backtracking,Combination Sum II,Medium,https://leetcode.com/problems/combination-sum-ii/
76,Backtracking,Word Search,Medium,https://leetcode.com/problems/word-search/
77,Backtracking,Palindrome Partitioning,Medium,https://leetcode.com/problems/palindrome-partitioning/
78,Backtracking,Letter Combinations of a Phone Number,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
79,Backtracking,N-Queens,Hard,https://leetcode.com/problems/n-queens/
80,Graphs,Number of Islands,Medium,https://leetcode.com/problems/number-of-islands/
81,Graphs,Max Area of Island,Medium,https://leetcode.com/problems/max-area-of-island/
82,Graphs,Clone Graph,Medium,https://leetcode.com/problems/clone-graph/
83,Graphs,Walls and Gates (Premium),Medium,https://leetcode.com/problems/walls-and-gates/
84,Graphs,Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/
85,Graphs,Pacific Atlantic Water Flow,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/
86,Graphs,Surrounded Regions,Medium,https://leetcode.com/problems/surrounded-regions/
87,Graphs,Course Schedule,Medium,https://leetcode.com/problems/course-schedule/
88,Graphs,Course Schedule II,Medium,https://leetcode.com/problems/course-schedule-ii/
89,Graphs,Graph Valid Tree (Premium),Medium,https://leetcode.com/problems/graph-valid-tree/
90,Graphs,Number of Connected Components in an Undirected Graph (Premium),Medium,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
91,Graphs,Redundant Connection,Medium,https://leetcode.com/problems/redundant-connection/
92,Graphs,Word Ladder,Hard,https://leetcode.com/problems/word-ladder/
93,Advanced Graphs,Reconstruct Itinerary,Hard,https://leetcode.com/problems/reconstruct-itinerary/
94,Advanced Graphs,Min Cost to Connect All Points,Medium,https://leetcode.com/problems/min-cost-to-connect-all-points/
95,Advanced Graphs,Network Delay Time,Medium,https://leetcode.com/problems/network-delay-time/
96,Advanced Graphs,Swim in Rising Water,Hard,https://leetcode.com/problems/swim-in-rising-water/
97,Advanced Graphs,Alien Dictionary (Premium),Hard,https://leetcode.com/problems/alien-dictionary/
98,Advanced Graphs,Cheapest Flights Within K Stops,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
99,1-D Dynamic Programming,Climbing Stairs,Easy,https://leetcode.com/problems/climbing-stairs/
100,1-D Dynamic Programming,Min Cost Climbing Stairs,Easy,https://leetcode.com/problems/min-cost-climbing-stairs/
101,1-D Dynamic Programming,House Robber,Medium,https://leetcode.com/problems/house-robber/
102,1-D Dynamic Programming,House Robber II,Medium,https://leetcode.com/problems/house-robber-ii/
103,1-D Dynamic Programming,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/
104,1-D Dynamic Programming,Palindromic Substrings,Medium,https://leetcode.com/problems/palindromic-substrings/
105,1-D Dynamic Programming,Decode Ways,Medium,https://leetcode.com/problems/decode-ways/
106,1-D Dynamic Programming,Coin Change,Medium,https://leetcode.com/problems/coin-change/
107,1-D Dynamic Programming,Maximum Product Subarray,Medium,https://leetcode.com/problems/maximum-product-subarray/
108,1-D Dynamic Programming,Word Break,Medium,https://leetcode.com/problems/word-break/
109,1-D Dynamic Programming,Longest Increasing Subsequence,Medium,https://leetcode.com/problems/longest-increasing-subsequence/
110,1-D Dynamic Programming,Partition Equal Subset Sum,Medium,https://leetcode.com/problems/partition-equal-subset-sum/
111,2-D Dynamic Programming,Unique Paths,Medium,https://leetcode.com/problems/unique-paths/
112,2-D Dynamic Programming,Longest Common Subsequence,Medium,https://leetcode.com/problems/longest-common-subsequence/
113,2-D Dynamic Programming,Best Time to Buy and Sell Stock with Cooldown,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
